Produto,Quantidade,Valor,Valor em Estoque
RYZEN 7 5700X ,1,779.43,779.43
RYZEN 5 5500 ,1,570.22,570.22
RYZEN 5 5600G,2,573.39,1146.78
MEMÓRIA RAM 2X8 16GB JAZER,1,188.06,188.06
MEMÓRIA RAM 2X8 16GB KILLSRE ,1,193.56,193.56
MEMÓRIA RAM 2X8 16GB HYPER X RGB,1,189.22,189.22
AIR COOLER AIGO,1,73.1,73.1
3 VENTOINHA BRANCA AIGO + CONTROLADORA,1,90.0,90.0
SSD XRAYDISK PRETO 512GB,1,100.82,100.82
SSD XRAYDISK PRETO 480GB,1,99.39,99.39
SSD XRAYDISK PRATA,2,88.07,176.14
SSD M2 GLOWAY 512,3,106.7,320.1
SSD M2 GLOWAY 256GB,1,74.87,74.87
SSD M2 KINGSPEC,2,145.5,291.0
PLACA DE VÍDEO RX 6600,1,1215.0,1215.0
PLACA DE VÍDEO RX 580 8GB,3,360.6,1081.8000000000002
